id,status,province,district,tehsil,city,problem
d7d2946e-4cac-4022-b640-afc2207cbd23,draft,Sindh,Umer Kot,molha.daro,dhoronarodaro mangnhar paro,Tehsil does not belong to the selected district in built-in dataset
d832a8ca-d3f5-41cf-922b-8a77274874f8,draft,Sindh,South Karachi,Karachi,Karachi,Tehsil does not belong to the selected district in built-in dataset
d8e88508-bf5d-4c15-9780-f67b23dd3828,draft,Khyber Pakhtunkhwa,Buner,گدیزی,پیر بابا,Tehsil does not belong to the selected district in built-in dataset
dac829f5-d001-4951-95ee-2438212dd256,draft,Khyber Pakhtunkhwa,Buner,گدیزی,کنگرگلئ,Tehsil does not belong to the selected district in built-in dataset
dc8ffcac-9fe2-4696-8dc9-e2ffa425349b,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pirbaba,Tehsil does not belong to the selected district in built-in dataset
ddbbbdb6-808f-46b9-a221-4d617d10b3d6,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Kinger Galay Kalay,Tehsil does not belong to the selected district in built-in dataset
de5884dc-9557-4cf8-89ab-910d55171dcf,needs_correction,Punjab,Chakwal,Lawa,Dhurnal,Tehsil does not belong to the selected district in built-in dataset
e14adf91-3aba-4271-bbd1-cdfec59a64e6,draft,Punjab,Chakwal,Talagang,City,Tehsil does not belong to the selected district in built-in dataset
e28d9ae4-c26f-473b-b4a8-f790f9974085,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kinger Galay Kalay,Tehsil does not belong to the selected district in built-in dataset
e29a5ed8-b9ec-4de3-81e9-93e034b638e1,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kala khela po pirbaba buner,Tehsil does not belong to the selected district in built-in dataset
e3f0335c-056b-4d4d-8a05-781c4c654fca,draft,Khyber Pakhtunkhwa,Chitral Upper,Torkhow mulkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
e44f857a-abf4-472f-b4d5-e0f43a782d7d,needs_correction,Punjab,Chakwal,Talagang,Kotehra near chingi,Tehsil does not belong to the selected district in built-in dataset
e4978c03-8e12-4762-b5a5-254edf896c58,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir baba,Tehsil does not belong to the selected district in built-in dataset
e5378cdf-b019-4bdc-a495-414546c0e75b,submitted,Khyber Pakhtunkhwa,D. I. Khan,Karachi,کراچی,Tehsil does not belong to the selected district in built-in dataset
